"Sample","SCORE"
"MIP.S06087.clean.bam","1"
"MIP.S06128.clean.bam","1"
"MIP.S06163.clean.bam","1"
"MIP.S20936.clean.bam","1"
"MIP.S22587.clean.bam","1"
"MIP.S22906.clean.bam","1"
"MIP.S22919.clean.bam","1"
"MIP.S22965.clean.bam","1"
"MIP.S22969.clean.bam","1"
"MIP.S23082.clean.bam","1"
"MIP.S23201.clean.bam","1"
"MIP.S23324.clean.bam","1"
"MIP.S27094.clean.bam","1"
"MIP.S29243.clean.bam","1"
"MIP.S29254.clean.bam","1"
"MIP.S29263.clean.bam","1"
"MIP.S29449.clean.bam","1"
"MIP.S29772.clean.bam","1"
"MIP.S29943.clean.bam","1"
"MIP.S33346.clean.bam","1"
"MIP.S33435.clean.bam","1"
"MIP.S33552.clean.bam","0"
"MIP.S33572.clean.bam","1"
"MIP.S33609.clean.bam","1"
"MIP.S34223.clean.bam","1"
"MIP.S35106.clean.bam","1"
"MIP.S35169.clean.bam","1"
"MIP.S35181.clean.bam","1"
"MIP.S35319.clean.bam","1"
"MIP.S02762.clean.bam","1"
"MIP.S21514.clean.bam","1"
"MIP.S22645.clean.bam","1"
"MIP.S22703.clean.bam","1"
"MIP.S21652.clean.bam","1"
"MIP.S23029.clean.bam","1"
"MIP.S28305.clean.bam","1"
"MIP.S28720.clean.bam","1"
"MIP.S32268.clean.bam","1"
"MIP.S32915.clean.bam","1"
"MIP.S32929.clean.bam","1"
"MIP.S33018.clean.bam","1"
"MIP.S34477.clean.bam","1"
"MIP.S34490.clean.bam","1"
