"Sample","SCORE"
"MIP.S06090.clean.bam","1"
"MIP.S06093.clean.bam","1"
"MIP.S06108.clean.bam","1"
"MIP.S06110.clean.bam","1"
"MIP.S06114.clean.bam","1"
"MIP.S06118.clean.bam","1"
"MIP.S06133.clean.bam","1"
"MIP.S06158.clean.bam","1"
"MIP.S06171.clean.bam","1"
"MIP.S09185.clean.bam","0"
"MIP.S09193.clean.bam","0"
"MIP.S09208.clean.bam","0"
"MIP.S09216.clean.bam","0"
"MIP.S09247.clean.bam","0"
"MIP.S09257.clean.bam","0"
"MIP.S09258.clean.bam","0"
"MIP.S09271.clean.bam","0"
"MIP.S09273.clean.bam","0"
"MIP.S13947.clean.bam","0"
"MIP.S20570.clean.bam","1"
"MIP.S20585.clean.bam","0"
"MIP.S20598.clean.bam","0"
"MIP.S20614.clean.bam","0"
"MIP.S20621.clean.bam","0"
"MIP.S20637.clean.bam","0"
"MIP.S20654.clean.bam","0"
"MIP.S20662.clean.bam","1"
"MIP.S13053.clean.bam","0"
"MIP.S13054.clean.bam","1"
"MIP.S13056.clean.bam","1"
"MIP.S13252.clean.bam","0"
"MIP.S13253.clean.bam","0"
"MIP.S13270.clean.bam","0"
"MIP.S20926.clean.bam","0"
"MIP.S20930.clean.bam","1"
"MIP.S20937.clean.bam","0"
"MIP.S20945.clean.bam","1"
"MIP.S20946.clean.bam","1"
"MIP.S20947.clean.bam","0"
"MIP.S20963.clean.bam","1"
"MIP.S20968.clean.bam","0"
"MIP.S20978.clean.bam","1"
"MIP.S21073.clean.bam","1"
"MIP.S21002.clean.bam","1"
"MIP.S21009.clean.bam","1"
"MIP.S21015.clean.bam","0"
"MIP.S21050.clean.bam","1"
"MIP.S21052.clean.bam","0"
"MIP.S21054.clean.bam","1"
"MIP.S21062.clean.bam","1"
"MIP.S21069.clean.bam","1"
"MIP.S22538.clean.bam","0"
"MIP.S22545.clean.bam","1"
"MIP.S22553.clean.bam","1"
"MIP.S22591.clean.bam","0"
"MIP.S22593.clean.bam","0"
"MIP.S22599.clean.bam","0"
"MIP.S22603.clean.bam","0"
"MIP.S22619.clean.bam","0"
"MIP.S22632.clean.bam","1"
"MIP.S22635.clean.bam","1"
"MIP.S22644.clean.bam","0"
"MIP.S22646.clean.bam","1"
"MIP.S22655.clean.bam","1"
"MIP.S22656.clean.bam","0"
"MIP.S22666.clean.bam","1"
"MIP.S22670.clean.bam","1"
"MIP.S22683.clean.bam","1"
"MIP.S22685.clean.bam","0"
"MIP.S22698.clean.bam","1"
"MIP.S22707.clean.bam","1"
"MIP.S22710.clean.bam","0"
"MIP.S22713.clean.bam","1"
"MIP.S22715.clean.bam","1"
"MIP.S22723.clean.bam","1"
"MIP.S22740.clean.bam","0"
"MIP.S22742.clean.bam","0"
"MIP.S22772.clean.bam","0"
"MIP.S22783.clean.bam","0"
"MIP.S22795.clean.bam","0"
"MIP.S22800.clean.bam","1"
"MIP.S22803.clean.bam","1"
"MIP.S22806.clean.bam","1"
"MIP.S22814.clean.bam","0"
"MIP.S22824.clean.bam","0"
"MIP.S22835.clean.bam","1"
"MIP.S22842.clean.bam","1"
"MIP.S22852.clean.bam","1"
"MIP.S22864.clean.bam","0"
"MIP.S22876.clean.bam","0"
"MIP.S22880.clean.bam","1"
"MIP.S22920.clean.bam","1"
"MIP.S22922.clean.bam","0"
"MIP.S22930.clean.bam","1"
"MIP.S22953.clean.bam","1"
"MIP.S22958.clean.bam","1"
"MIP.S22974.clean.bam","1"
"MIP.S22991.clean.bam","1"
"MIP.S23023.clean.bam","0"
"MIP.S23046.clean.bam","1"
"MIP.S23047.clean.bam","0"
"MIP.S23103.clean.bam","1"
"MIP.S23117.clean.bam","1"
"MIP.S23124.clean.bam","1"
"MIP.S23132.clean.bam","0"
"MIP.S23152.clean.bam","0"
"MIP.S23153.clean.bam","1"
"MIP.S23164.clean.bam","0"
"MIP.S23178.clean.bam","1"
"MIP.S23632.clean.bam","1"
"MIP.S23633.clean.bam","1"
"MIP.S23634.clean.bam","0"
"MIP.S23640.clean.bam","0"
"MIP.S23641.clean.bam","1"
"MIP.S23642.clean.bam","0"
"MIP.S23648.clean.bam","0"
"MIP.S23202.clean.bam","1"
"MIP.S23209.clean.bam","1"
"MIP.S23215.clean.bam","0"
"MIP.S23229.clean.bam","0"
"MIP.S23296.clean.bam","1"
"MIP.S23298.clean.bam","0"
"MIP.S23304.clean.bam","0"
"MIP.S23321.clean.bam","0"
